GridID,B2_mean,B3_mean,B4_mean,B8_mean,B11_mean,B2_ent,B2_corr,B2_asm,B3_ent,B3_corr,B3_asm,B4_ent,B4_corr,B4_asm,B8_ent,B8_corr,B8_asm,B11_ent,B11_corr,B11_asm,NDBI_mean,NDVI_mean,workc0,worka1,worka2,worka3,worka4,worka5,workb1,workb2,workb3,workb4,workb5,wendc0,wenda1,wenda2,wendb1,wendb2,POInum,POItype,residentia,commercial,industry,public,greenspace,type60
726,562.371349,751.367747,696.727491,2110.206883,1594.880352,1.079579,0.283349,0.445319,1.329318,0.155071,0.331851,1.269192,0.290738,0.379979,1.913515,0.148537,0.163695,1.260272,0.307619,0.358519,-0.125476,0.504656,363.368567,-9.628522,-1.542272,-8.502333,14.131246,-37.12988,10.728179,8.030384,-7.16209,13.377238,37.767206,381.774653,-10.525972,-67.389773,-33.967587,-34.250746,10,3,5.162648,2.032723,0.53364,17.733462,0,4
1926,976.426571,1124.661865,1188.368147,2021.157663,2159.168868,1.419492,0.263021,0.31044,1.438302,0.250985,0.304611,1.594241,0.263755,0.251503,1.700785,0.168912,0.214155,1.289467,0.33303,0.357768,0.038069,0.274016,498.102151,-6.428783,-3.947378,-13.969834,9.754089,-71.815976,6.240044,-4.900198,-7.319786,6.15472,78.62185,517.555607,-71.157281,-91.569246,-23.304285,-17.102259,3,3,1.095518,0.000048,1.970206,3.428231,0,2
188,841.4112,1003.9424,1097.3292,1799.934,1911.7876,1.217384,0.297516,0.382736,1.257884,0.279821,0.37358,1.375559,0.27749,0.331388,1.514978,0.361564,0.287802,1.152527,0.330025,0.399091,0.048169,0.242771,283.905968,-8.804501,-3.700705,6.265954,6.680051,-35.497739,-3.125169,4.287291,-8.938148,2.462258,25.245938,329.682006,-33.813633,-55.287469,-18.797173,-20.918597,1,1,30.844792,1.173876,0.666723,0.463052,0,1
1094,829.788485,1015.386246,1103.970812,1947.886046,1656.734506,1.422009,0.248924,0.308405,1.56589,0.208445,0.261214,1.686658,0.251342,0.230421,1.882484,0.216108,0.18094,1.338383,0.270859,0.331694,-0.059398,0.2879,281.473116,-6.714367,5.953455,-7.910441,13.315487,-31.247382,4.980337,7.113604,0.11265,13.933355,39.385938,299.188806,14.581778,-55.049962,-29.652227,-33.03375,18,4,60.833334,4.367022,0.141386,6.105196,0,1
341,775.485188,969.71257,1044.493195,1943.331865,1949.196157,1.145072,0.366811,0.416175,1.18872,0.339209,0.406251,1.253742,0.393147,0.392442,1.619068,0.29581,0.243938,1.032711,0.446602,0.46536,0.013996,0.305526,302.126987,-5.129986,0.662472,-7.893905,5.819883,-31.830986,-0.56758,0.386441,0.043398,1.354947,34.496739,312.820089,-8.514605,-44.091053,1.018808,-22.563645,15,4,22.518852,0.003975,1.837096,4.295109,0,1
1722,970.5528,1137.0692,1256.3232,2020.7392,2084.5012,1.533765,0.134907,0.266449,1.627438,0.111462,0.242193,1.747842,0.127401,0.209017,1.793883,0.030521,0.190657,1.310489,0.256949,0.341383,0.02638,0.242077,237.643315,-1.347851,2.005236,-5.332841,2.642593,-22.464538,0.306607,1.89627,0.324774,7.018936,5.76073,259.419245,9.930872,-22.303736,-34.237009,-26.216846,22,1,82.457668,1.711778,0.755774,5.292453,0.166065,1
243,775.327869,964.671731,992.435426,2087.066373,2024.596162,1.157034,0.357582,0.423865,1.289791,0.265439,0.362171,1.495026,0.258953,0.286399,1.657208,0.093606,0.232268,1.15104,0.394155,0.417695,-0.014086,0.381343,127.5897,-8.701445,-2.227977,-10.925161,3.229011,-12.891664,5.234682,-1.223519,5.382717,6.196589,15.910938,159.306555,-24.786825,-18.080437,-6.49274,-2.76045,2,2,0.876671,0,0,0.250653,0,1
838,608.2396,754.2916,740.6404,1801.832,1440.5144,1.399413,0.250045,0.320553,1.558341,0.215933,0.26083,1.608585,0.233039,0.25359,1.994126,0.270556,0.147002,1.50456,0.226201,0.274104,-0.071295,0.413366,142.589214,-3.05592,0.407431,-1.231054,5.933541,-17.299996,-0.524223,1.816947,-2.841156,4.599269,-18.048049,172.639918,-29.108083,-4.146132,-55.109355,-46.72993,37,1,101.476686,7.45756,0,10.909023,0,1
189,816.203918,1005.552579,1074.782087,1802.991204,1793.346262,1.28252,0.264904,0.358726,1.427382,0.242278,0.30412,1.536005,0.277405,0.277968,1.738897,0.222435,0.214665,1.363173,0.268561,0.3189,0.016851,0.257768,120.586898,-4.401811,-2.959939,-4.335452,1.713847,-12.801592,0.775742,5.769791,1.337463,5.394326,9.257614,141.882847,-7.672382,-18.07169,-9.421423,-17.237228,5,1,34.709512,0.308537,0.398514,0.015363,0,1
539,804.63,1065.3104,1243.856,1771.3864,1882.7428,1.050976,0.250178,0.439625,1.17956,0.196664,0.38802,1.349731,0.233111,0.337807,1.524623,0.295667,0.280316,1.264269,0.342947,0.359388,0.021381,0.136893,624.742814,8.5988,17.643698,-33.860534,12.085205,-108.546896,-8.771139,0.912112,-15.048899,1.860765,166.197579,644.374578,-121.412179,-188.295313,-71.375504,-5.050676,2,2,3.346543,0.847176,0.011598,0.002223,0,5
912,762.32413,912.555822,937.635454,1770.464586,1580.429372,1.45768,0.120916,0.302862,1.58933,0.105548,0.260603,1.698845,0.125106,0.230991,1.939328,0.158961,0.161986,1.510904,0.200223,0.270968,-0.035205,0.310825,506.893904,-18.186555,16.965762,-17.019919,24.845642,-55.241687,2.452937,6.809003,-1.781184,19.051014,69.133336,634.892272,44.752767,-90.619755,-127.903869,-92.587869,35,3,89.83172,2.853476,1.60286,2.28194,0.140962,1
187,943.1072,1149.6972,1261.5724,1826.2412,1848.9744,1.502627,0.229489,0.272583,1.624553,0.247386,0.235931,1.717567,0.243237,0.209027,1.797796,0.306847,0.192119,1.42305,0.274051,0.303062,0.036011,0.180831,382.527099,-10.985382,-6.978863,-5.219322,15.71041,-30.75213,7.426877,2.087904,-9.782261,9.85923,57.47366,440.881487,-48.230187,-75.318584,-17.879937,5.15018,1,1,12.106258,1.528935,0.345732,0.986097,0.075229,1
146,953.158063,1123.22529,1244.884754,1553.57383,1603.304122,1.547515,0.240185,0.258064,1.650401,0.24241,0.226061,1.70728,0.281182,0.213028,1.774813,0.296546,0.19552,1.329953,0.246808,0.321724,0.043539,0.102543,271.943029,-0.543653,3.077927,-4.763653,5.507502,-31.406693,-5.34901,3.165006,-5.852927,4.900479,25.333503,307.751464,-41.37521,-44.18357,-12.633692,-12.156382,2,2,3.997309,1.210689,0.036999,0.061563,0.108487,1
1335,686.3888,841.5428,855.0684,2028.4684,1508.226,1.342042,0.231288,0.354005,1.548735,0.16395,0.270775,1.641667,0.209396,0.249156,1.983733,0.220828,0.149205,1.257521,0.26376,0.358489,-0.113988,0.402283,541.585206,-9.418436,9.172212,-8.202871,20.749379,-57.409064,5.032657,10.88885,-6.267875,21.071614,12.699815,573.397975,31.692729,-55.328413,-70.708513,-100.812285,20,3,84.985367,8.618202,0.71077,8.437132,0,1
1207,1013.8972,1193.3496,1298.878,1788.0452,1809.1988,1.879878,-0.227328,0.180237,1.956957,-0.240362,0.157807,2.027884,-0.242221,0.141827,2.087019,-0.216183,0.129956,1.514615,0.118768,0.26876,0.029243,0.170767,244.944336,-12.963961,5.52861,-8.877937,11.772622,-24.67608,5.299336,7.189631,-4.840253,6.99018,57.210493,273.325161,12.560839,-55.273712,-33.397601,3.251985,30,3,68.189959,5.772722,2.775469,10.802533,0,1
552,543.518593,773.668533,801.287885,2212.145942,1963.241503,0.817243,0.471417,0.587197,1.091181,0.262086,0.450126,1.288003,0.257027,0.379804,1.742353,0.102672,0.207339,1.028474,0.360832,0.449326,-0.052866,0.480874,214.671635,-3.639791,4.12331,-4.940458,1.122857,-25.231631,5.755843,4.320005,1.521337,6.664699,10.913775,207.261169,-28.838076,-27.501153,-10.60488,-20.732831,7,1,35.510767,0.432875,0.569926,1.997198,0,5
893,698.6144,817.1592,828.5808,2158.9384,1676.7292,1.287325,0.280574,0.376375,1.335967,0.280139,0.355832,1.454352,0.319503,0.326617,1.904376,0.177747,0.169314,1.288329,0.285599,0.355556,-0.09958,0.437678,159.565331,-17.107819,6.154835,-3.623828,6.052647,-13.624809,-5.884911,6.515202,-2.07141,1.392833,-1.50109,159.484505,-15.991509,-7.816381,-21.87778,-30.610956,26,5,83.70612,10.566001,0,27.842294,0,4
326,260.6332,396.214,285.384,903.246,492.4176,0.59579,0.377732,0.65757,0.145452,0.8623,0.913442,0.222611,0.820295,0.865106,0.671083,0.672603,0.66964,0.523176,0.76326,0.733067,-0.347274,0.159779,55.178094,1.475926,1.40346,2.112239,-1.96223,-7.350242,-2.72449,2.894797,-2.020682,-2.548939,-0.271366,65.447599,-16.827503,-6.490122,3.32629,-3.503086,1,1,0,0,0.795447,0.312811,0.010094,5
1174,809.2804,919.1432,946.7544,1591.1324,1425.2588,1.499561,0.232831,0.276099,1.562214,0.301298,0.260741,1.670427,0.305483,0.228148,1.831473,0.331318,0.184573,1.518369,0.25065,0.269975,-0.023526,0.256852,401.432107,-4.910678,-1.857055,-10.260805,17.404178,-56.577397,-18.006497,3.103176,0.131835,10.296743,14.677997,499.85055,-32.58469,-60.866315,-90.108519,-94.159354,23,3,57.188261,7.209192,0.07001,8.139535,0.526087,1
978,724.1884,881.2984,854.242,1987.2624,1528.9608,1.480729,0.125733,0.279299,1.584739,0.071974,0.246943,1.690101,0.12544,0.217235,1.982802,0.200527,0.14878,1.112697,0.292265,0.409225,-0.110971,0.40007,484.836999,-7.769455,10.632154,-10.388947,13.825411,-46.448428,10.897585,8.507127,-5.354015,16.779423,54.560706,520.080432,-27.850921,-81.347876,-39.055073,-45.096034,46,2,128.437227,4.827685,1.02896,2.3942,0.287395,1
595,918.572171,1089.62575,1163.969212,1751.336265,1620.171132,1.580966,0.284721,0.253671,1.675237,0.316117,0.229247,1.765459,0.323718,0.205483,1.891275,0.383417,0.175441,1.524902,0.274581,0.266535,-0.003903,0.201721,363.392324,21.285097,-0.550975,-13.787016,11.961775,-33.232841,17.206165,6.384309,-13.99297,9.340373,45.051702,428.279629,-1.507302,-65.051769,-37.736536,-36.11095,30,5,77.183531,5.979607,0,4.696457,0.017176,1
1868,972.753902,1141.316527,1234.081633,1727.873149,1789.214086,1.654278,0.242956,0.230774,1.728319,0.253799,0.215844,1.811855,0.270271,0.194562,1.878497,0.261349,0.178121,1.526386,0.247472,0.269219,0.055299,0.166037,606.197217,-11.23512,11.466397,-18.901858,26.278384,-48.068581,15.37432,11.978533,-0.724966,26.115257,69.425082,670.509426,-1.59148,-87.462545,-74.509967,-60.539155,28,4,59.320734,12.462578,0.582044,4.956269,0,1
762,417.1792,610.1468,530.4868,2293.6208,1518.0712,0.462355,0.612533,0.737531,0.878961,0.304891,0.509551,0.895735,0.4152,0.518163,1.743345,-0.002868,0.202726,1.135426,0.34583,0.408632,-0.201997,0.623101,700.435016,-1.391521,-1.87661,-1.939984,20.061128,-146.279361,-23.27352,3.918948,-2.267868,-4.82065,200.846574,743.145685,-108.146467,-205.597745,-40.863766,-44.415273,2,1,28.765832,0.815732,0.005444,0.722815,1.864537,5
1753,1166.338665,1173.163135,1301.914434,1657.09956,1947.812875,1.403022,0.214029,0.300063,1.398585,0.16107,0.299944,1.472366,0.179199,0.276773,1.575212,0.234823,0.250719,1.353493,0.337235,0.320153,0.075961,0.120141,504.170983,7.843825,-14.848184,6.851658,6.934369,-91.062913,-9.698533,-9.086871,-29.036258,15.133631,113.439842,547.76608,-55.659609,-147.765655,70.815336,26.700832,1,1,7.999259,3.145192,0.035197,0,0,3
1033,1299.072829,1293.041617,1288.502601,2088.969188,2128.721489,1.645716,0.219176,0.240239,1.61291,0.176334,0.24928,1.675591,0.211732,0.231752,1.81955,0.171516,0.194908,1.464933,0.292794,0.298188,0.003206,0.258712,570.093957,-12.420575,12.625581,-14.277976,18.255364,-30.829905,10.196293,16.403433,-2.114168,23.296156,56.119553,514.545798,10.24474,-73.501934,-53.154064,-39.148934,8,6,68.444299,4.135871,2.077485,2.668619,0.858112,3
1039,773.919168,890.896359,913.991997,1642.773109,1438.171269,1.567233,-0.006952,0.235368,1.652201,-0.002523,0.215538,1.724322,0.015966,0.199729,1.953317,0.05047,0.153538,1.109492,0.296856,0.414956,-0.043336,0.281806,318.927118,-1.691232,0.059242,-6.091733,9.788934,-36.109983,-3.128113,6.161765,-3.562128,5.049953,22.498084,352.636242,-33.821009,-47.02573,-31.554667,-36.370487,45,1,82.071179,12.625563,1.367671,13.492034,0.025501,1
663,757.7672,917.7036,956.0488,1638.9112,1542.1416,1.532348,0.260798,0.261817,1.59161,0.262001,0.249788,1.706353,0.281256,0.216267,1.860994,0.336844,0.17999,1.477736,0.251731,0.280316,0.002483,0.260609,850.210093,-10.866623,26.04184,-18.315043,40.430408,-120.936342,25.848404,20.716601,0.428393,41.168881,161.71775,902.863078,12.813389,-170.667353,-114.529062,-103.479463,39,4,56.413923,2.154199,2.122069,1.341824,0,1
657,908.1368,1121.2668,1206.9084,2211.69,2116.562,1.218039,0.355243,0.385096,1.324832,0.301561,0.343664,1.492137,0.333841,0.287546,1.72087,0.140271,0.212988,1.249059,0.329316,0.361768,-0.020664,0.321582,536.088235,-31.3936,44.330182,5.093503,33.917769,-128.772981,-15.184033,8.871787,-7.751146,-4.185999,171.054283,583.228107,-76.224648,-195.347596,-72.985439,-12.789233,1,1,5.830927,4.683478,0,1.691092,0.192231,4
697,1341.713886,1335.7511,1313.827931,2307.979992,2263.97399,1.619641,0.349072,0.248312,1.569883,0.329756,0.264071,1.66158,0.329812,0.235615,1.871296,0.304759,0.176648,1.361428,0.346239,0.34019,-0.007862,0.302081,301.3986,-4.223269,1.819622,-4.960814,6.220072,-47.295538,-1.504655,2.357517,-4.389957,3.686858,66.496565,307.571042,22.276273,-70.558551,-30.643122,-26.361899,2,2,26.654756,2.100583,1.744172,2.602626,0.091118,3
338,536.6772,702.936,672.9116,2085.0244,1888.0632,0.636975,0.610819,0.655575,0.91093,0.390784,0.510578,1.060921,0.378817,0.441551,1.707172,0.212667,0.215723,1.181633,0.329956,0.384178,-0.041723,0.51212,96.800021,-2.200389,2.737239,-2.189768,2.967642,-9.961691,1.297864,1.129765,-2.085836,0.901156,16.832742,84.143225,-5.815223,-13.315123,0.573656,-3.686853,1,1,0.386323,0.200351,0.174035,0.137244,0,5
398,803.185126,950.912435,965.411435,1923.638545,1968.922431,1.221069,0.4031,0.43201,1.331369,0.311363,0.377474,1.465473,0.284027,0.320065,1.759948,0.199579,0.207181,1.24066,0.328621,0.385638,0.022816,0.345683,172.68021,-2.952155,1.310815,-6.124866,5.720263,-22.463282,-1.093568,3.272685,-1.376474,-0.364433,24.407659,162.439724,-5.313763,-27.742211,1.242803,-10.065185,3,2,1.638099,0.873381,1.109913,0.117918,0,3
484,953.3332,1167.1168,1267.8468,2073.5032,2049.3604,1.247997,0.311583,0.391644,1.321261,0.267087,0.363348,1.496901,0.227925,0.289877,1.693622,0.168476,0.217037,1.2531,0.323549,0.356198,0.003933,0.259992,773.196197,-10.333276,8.204269,-22.488574,30.641421,-156.837022,20.064197,-4.162057,-3.604277,26.628993,202.943902,826.890839,-107.126582,-211.060304,-38.519246,-37.989897,3,2,2.928062,6.683696,0.193723,0.000516,0,5
1976,928.4012,1054.5708,1130.1548,1738.0156,1632.6984,1.605642,0.241199,0.242914,1.655871,0.240982,0.227832,1.774367,0.249509,0.195338,1.928434,0.313297,0.162558,1.214295,0.306056,0.373136,-0.013847,0.208273,841.089081,-25.153349,-3.298969,-19.25868,25.549049,-81.307901,18.022528,15.856742,-10.562647,23.794505,106.548287,896.975723,-51.41501,-134.396523,-82.360194,-55.337154,45,5,71.662772,6.249376,0.444742,8.743903,0,1
1145,1792.861945,1988.901561,2097.184074,2433.455382,2379.472189,1.670713,0.127012,0.240496,1.694437,0.141612,0.241721,1.766309,0.186432,0.217939,1.853892,0.073712,0.189098,1.504372,0.308039,0.292883,0.000287,0.102655,315.023413,-3.164526,6.004218,-17.355876,14.481553,-46.834557,15.064878,-5.915929,-0.671571,16.266219,117.207842,282.181329,-28.217446,-97.99857,-16.618711,9.456267,1,1,5.852742,0.445937,1.618351,0.935877,0.583239,3
376,747.0412,897.7164,961.8132,2025.8932,1686.4456,1.589654,0.070763,0.243378,1.662223,0.090637,0.221521,1.728602,0.10251,0.20884,1.989154,0.027657,0.146963,1.372556,0.284765,0.315664,-0.079529,0.376802,113.593492,-2.154847,1.812022,-0.982956,2.40574,-15.573154,2.201358,0.927291,0.05932,3.006331,9.551282,131.049743,-13.002419,-20.50662,-5.43616,-11.356882,10,2,73.617572,3.680967,0,6.908633,0,1
1928,1096.1732,1026.2952,1041.082,1879.334,2231.8508,1.399028,0.317801,0.330815,1.340857,0.267577,0.333323,1.420873,0.284843,0.303743,1.769724,0.245785,0.205225,1.545656,0.300888,0.263773,0.082885,0.27653,324.486154,-4.501412,5.964592,-7.189659,10.792677,-32.798507,6.745374,3.938398,0.684469,11.846217,66.30891,348.169702,-36.567888,-69.811953,1.410818,-6.60769,2,1,0.6448,0.438553,0.183079,0.296263,0,3
2039,562.3352,757.3968,770.5736,2253.0688,1946.362,0.587758,0.659706,0.698212,0.649004,0.616846,0.661491,0.804607,0.524945,0.588919,1.540469,0.249685,0.2656,0.898088,0.445878,0.517501,-0.067821,0.494764,241.339471,-1.771095,3.482544,-2.943833,4.241009,-30.665797,-1.535014,1.157536,-1.139826,3.771702,40.551028,274.241736,-27.266309,-54.710813,-24.131995,-5.637106,4,1,4.238982,0.002196,0.000995,0.112576,0,4
941,742.054778,894.255098,1109.30108,1941.934026,1751.411835,1.489891,0.081107,0.263189,1.561123,0.077384,0.250137,1.748931,0.080172,0.202887,1.911598,0.119735,0.167977,1.344087,0.19319,0.319976,-0.026997,0.282401,547.824791,-8.405033,5.01756,-11.849969,18.578425,-50.866815,9.964515,10.39801,1.603451,18.608427,22.600104,631.941809,-11.492361,-64.205359,-109.650695,-90.56129,51,4,91.692254,16.73516,0.456634,10.154573,0,1
